Dataset,Micro-F1,Macro-F1,Macro-AUPRC,Macro-AUROC
MIMIC-III,0.8956 +/- 0.0043,0.8448 +/- 0.0092,0.9000 +/- 0.0067,0.9828 +/- 0.0015
MIMIC-IV,0.8652 +/- 0.0089,0.8582 +/- 0.0089,0.9250 +/- 0.0086,0.9817 +/- 0.0023
